Image_Url, Item_Name, Item_Price, Average_Rating (Max Score is 5), Number_Of_Ratings 
https://m.media-amazon.com/images/I/91GWZUQ1vEL._AC_UL320_.jpg,Oakley Mens Kitchen Sink,S$263.95,4.7 ,520
https://m.media-amazon.com/images/I/61-NANUhIiL._AC_UL320_.jpg,Leather Watch Roll Travel Case for 3 Watches| Storage Organizer & Display| Watch accessory| Luxury Velvet interior for Anti-scratching (Blue+Wine Red),,,
https://m.media-amazon.com/images/I/81dJvHraNWL._AC_UL320_.jpg,Packing Cubes Luggage Bags Organizer Durable Travel Accessories With Clothing Label| 8 set - Grey/Rose| One_Size,S$53.96,4.7 ,140
https://m.media-amazon.com/images/I/71h0DzXg9jL._AC_UL320_.jpg,ReliBeauty Girls Sequin Princess Costume Long Sleeve Dress up,S$69.23,4.8 ,3'827
https://m.media-amazon.com/images/I/71QeL7NVgYL._AC_UL320_.jpg,BAGAIL 8 Set Packing Cubes Luggage Packing Organizers for Travel Accessories| Wine Red| Small,S$37.69,4.5 ,2'056
https://m.media-amazon.com/images/I/511SPRMzTaS._AC_UL320_.jpg,Kawaii Backpack for Girls Women with Pin Bear Accessories Cute College High School Backpack Laptop Bookbags,S$44.69,3.5 ,44
https://m.media-amazon.com/images/I/61SwgRjavBL._AC_UL320_.jpg,SalesOne LLC Marvel Studios Shang-Chi and The Legend of The Ten Rings Green Pendant Necklace Authentic Prop Replica| Cosplay Costume Accessories | MCU Superhero Comic Book Gifts and Collectibles,S$52.00,4.3 ,13
https://m.media-amazon.com/images/I/6130Z9PMtbL._AC_UL320_.jpg,Adult Nordic Viking Helmet with Horns Braids Barbarian Warrior Costume Accessory Gold,S$31.14,4.4 ,95
https://m.media-amazon.com/images/I/81nWqjxrtJL._AC_UL320_.jpg,Hanging Travel Toiletry Bag for Women with Hook|Large Makeup Organizer with 21 Compartments|Water-resistant Travel Cosmetic Bag for Bathroom Accessories| Full Sized Container| Toiletries (Navy Blue),S$41.48,4.8 ,121
https://m.media-amazon.com/images/I/41hotfDfScL._AC_UL320_.jpg,Twelve South Backpack for M1 iMac,S$61.58,4.9 ,11
https://m.media-amazon.com/images/I/81e40O6wvxL._AC_UL320_.jpg,Celestron PowerSeeker Accessory Kit Telescope,S$46.33,4.3 ,8'548
https://m.media-amazon.com/images/I/717Uqv49qUL._AC_UL320_.jpg,FitStill Double Lock Waterproof Housing for GoPro Hero 2018/7/6/5 Black| Protective 45m Underwater Dive Case Shell with Bracket Accessories for Go Pro Hero7 Hero6 Hero5 Action Camera,S$33.24,4.4 ,2'052
https://m.media-amazon.com/images/I/717vFfxSA8L._AC_UL320_.jpg,Garmin 010-12666-15 vívofit jr 2 Accessory Band| Disney Princess Purple| Adjustable Band,S$31.03,4.4 ,1'421
https://m.media-amazon.com/images/I/51P7bIs9S2L._AC_UL320_.jpg,Elgato Solid Arm Auxiliary Holding arm for Cameras| Lights and More| Multi Mount Accessory| black (10AAG9901),S$49.00,4.8 ,249
https://m.media-amazon.com/images/I/61EcBbntU9L._AC_UL320_.jpg,OtterBox Utility Series Latch II Case with Accessory Bag for 10-Inch Tablets,S$43.37,4.6 ,766
